Frame_number,Image_name,left_eyelid_opening_valid,left_eyelid_opening_mm,right_eyelid_opening_valid,right_eyelid_opening_mm
316,frame_316,1,4.491092,1,3.730856
317,frame_317,1,4.164197,1,3.493498
318,frame_318,1,4.250283,1,3.514166
319,frame_319,1,4.247862,1,3.413483
320,frame_320,1,4.278679,1,4.113401
321,frame_321,1,3.856562,1,3.412913
322,frame_322,1,4.088013,1,3.521503
323,frame_323,1,4.102117,1,3.474721
324,frame_324,1,4.196587,1,3.93921
325,frame_325,1,4.220352,1,3.935241
326,frame_326,1,4.148046,1,3.270448
327,frame_327,1,4.153849,1,3.896872
328,frame_328,1,4.204439,1,3.966521
329,frame_329,1,4.117217,1,3.934698
330,frame_330,1,3.833635,1,3.967691
331,frame_331,1,4.075479,1,3.80729
332,frame_332,1,3.987849,1,3.875254
333,frame_333,1,4.079217,1,3.969105
334,frame_334,1,4.142814,1,3.864108
335,frame_335,1,4.018637,1,3.964717
336,frame_336,1,4.065172,1,3.855584
337,frame_337,1,3.960291,1,3.890725
338,frame_338,1,4.123433,1,3.91103
339,frame_339,1,3.940194,1,3.862144
340,frame_340,1,4.15818,1,3.950078
341,frame_341,1,4.081293,1,3.939362
342,frame_342,1,4.036538,1,3.785172
343,frame_343,1,4.011323,1,3.89272
344,frame_344,1,4.133834,1,3.711778
345,frame_345,1,4.111962,1,3.299913
346,frame_346,1,3.910098,1,3.839172
347,frame_347,1,4.046327,1,3.768312
348,frame_348,1,4.108685,1,3.280886
349,frame_349,1,3.953601,1,3.249674
350,frame_350,1,4.050775,1,3.84812
351,frame_351,1,4.045042,1,3.874591
352,frame_352,1,3.934572,1,3.753205
353,frame_353,1,4.070343,1,3.975643
354,frame_354,1,4.071695,1,3.140046
355,frame_355,1,4.157766,1,3.745677
356,frame_356,1,4.127288,1,3.803098
357,frame_357,1,4.112747,1,4.077415
358,frame_358,1,4.071137,1,3.906115
359,frame_359,1,4.01164,1,3.339424
360,frame_360,1,4.116294,1,3.872411
361,frame_361,1,4.247298,1,3.140213
362,frame_362,1,4.014072,1,4.024358
363,frame_363,1,3.97979,1,3.698289
364,frame_364,1,4.143326,1,3.836764
365,frame_365,1,3.939196,1,3.852575
366,frame_366,1,4.130575,1,3.742863
367,frame_367,1,4.20996,1,3.211691
368,frame_368,1,4.05466,1,3.150367
369,frame_369,1,4.005664,1,3.832085
370,frame_370,1,3.945255,1,3.81171
371,frame_371,1,3.896056,1,3.725091
372,frame_372,1,3.829857,1,3.92024
373,frame_373,1,4.094565,1,3.889688
374,frame_374,1,4.166398,1,3.981049
375,frame_375,1,3.810708,1,3.175724
376,frame_376,1,4.035022,1,3.890021
377,frame_377,1,3.964702,1,4.006616
378,frame_378,1,4.118848,1,3.857404
379,frame_379,1,4.072663,1,3.79989
380,frame_380,1,4.098394,1,3.898727
381,frame_381,1,3.991156,1,3.79934
382,frame_382,1,4.073381,1,3.753235
383,frame_383,1,4.079079,1,3.202841
384,frame_384,1,4.289513,1,3.260212
385,frame_385,1,4.047086,1,3.950354
386,frame_386,1,4.044495,1,3.77535
387,frame_387,1,4.031977,1,4.054241
388,frame_388,1,4.203955,1,3.847604
389,frame_389,1,3.990047,1,3.05474
390,frame_390,1,4.229118,1,3.853855
391,frame_391,1,4.060155,1,3.952127
392,frame_392,1,4.114698,1,4.006301
393,frame_393,1,4.167543,1,3.756389
394,frame_394,1,4.101846,1,3.868072
395,frame_395,1,4.181853,1,3.777354
396,frame_396,1,3.841232,1,3.686216
397,frame_397,1,4.103689,1,3.885952
398,frame_398,1,4.12559,1,3.745489
399,frame_399,1,4.063819,1,3.761177
400,frame_400,1,3.805708,1,3.664583
401,frame_401,1,3.907549,1,3.700695
402,frame_402,1,4.036991,1,3.719313
403,frame_403,1,4.08295,1,3.728437
404,frame_404,1,3.904043,1,3.626744
405,frame_405,1,3.898324,1,3.066238
406,frame_406,1,4.13838,1,3.913423
407,frame_407,1,3.996025,1,3.749381
408,frame_408,1,3.953459,1,3.747533
409,frame_409,1,3.849252,1,3.887317
410,frame_410,1,4.014298,1,3.646725
411,frame_411,1,4.089941,1,3.80756
